Wall time,Step,Value
1600368947.461413,0,0.1492537260055542
1600369784.314552,1,0.18470148742198944
1600370608.809703,2,0.2276119440793991
1600371426.645601,3,0.26119402050971985
1600372250.901693,4,0.3003731369972229
1600373078.318972,5,0.38246268033981323
1600373895.921568,6,0.3787313401699066
1600374734.664301,7,0.3973880708217621
1600375569.99049,8,0.4458955228328705
1600376396.416598,9,0.5223880410194397
1600377229.060027,10,0.5298507213592529
1600378062.932898,11,0.5559701323509216
1600378885.792379,12,0.5708954930305481
1600379731.350953,13,0.5914179086685181
1600380561.186212,14,0.60447758436203
1600381397.914001,15,0.6324626803398132
1600382218.752558,16,0.6305969953536987
1600383040.397619,17,0.6585820913314819
1600383870.212947,18,0.638059675693512
1600384689.53465,19,0.6679104566574097
1600385507.758389,20,0.7089552283287048
1600386332.351685,21,0.6996268630027771
1600387149.693198,22,0.6567164063453674
1600387966.660252,23,0.6791045069694519
1600388801.181496,24,0.7052238583564758
1600389623.480662,25,0.6548507213592529
1600390454.943734,26,0.6902984976768494
1600391304.734792,27,0.7257462739944458
1600392147.61621,28,0.7014925479888916
1600392985.161186,29,0.7201492786407471
1600393806.109095,30,0.7201492786407471
1600394631.547585,31,0.7201492786407471
