Wall time,Step,Value
1600368947.461044,0,5.519650459289551
1600369784.314176,1,5.412283897399902
1600370608.809337,2,5.292640686035156
1600371426.645214,3,5.163503170013428
1600372250.901326,4,5.003713130950928
1600373078.3186,5,4.8264031410217285
1600373895.921187,6,4.675919055938721
1600374734.663923,7,4.566757678985596
1600375569.990124,8,4.425241947174072
1600376396.416224,9,4.280201435089111
1600377229.059651,10,4.146217346191406
1600378062.932527,11,4.0168256759643555
1600378885.791989,12,3.8750154972076416
1600379731.350584,13,3.8031179904937744
1600380561.185352,14,3.670292377471924
1600381397.913592,15,3.5862741470336914
1600382218.752175,16,3.5348474979400635
1600383040.397249,17,3.3915462493896484
1600383870.212572,18,3.3468775749206543
1600384689.534267,19,3.2157938480377197
1600385507.757976,20,3.115119457244873
1600386332.351299,21,3.0683753490448
1600387149.692831,22,3.143676280975342
1600387966.659811,23,3.02860951423645
1600388801.18113,24,2.898566246032715
1600389623.480286,25,2.9455394744873047
1600390454.943359,26,2.8127877712249756
1600391304.734417,27,2.725759744644165
1600392147.615816,28,2.7225468158721924
1600392985.160831,29,2.645087718963623
1600393806.10872,30,2.5765092372894287
1600394631.547207,31,2.4977834224700928
